player_id,name,team,position,price,form,recent_form,points_per_game,points_per_90,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,ownership_percentage,avg_fixture_difficulty,team_strength,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away
1,Fábio Ferreira Vieira,Arsenal,MID,5.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
2,Gabriel Fernando de Jesus,Arsenal,FWD,6.5,0.0,0.0,2.4705882352941178,6.300000000000001,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0.17647058823529413,0.11764705882352941,1.0,5.0,0.5,1390,1400,1310,1300
3,Gabriel dos Santos Magalhães,Arsenal,DEF,6.1,0.0,0.0,4.178571428571429,4.456199746085484,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0.10714285714285714,0.07142857142857142,12.2,5.0,0.5,1390,1400,1310,1300
4,Kai Havertz,Arsenal,FWD,7.7,0.0,0.0,4.363636363636363,4.662709120345386,1853,9,3,7,20,0,0,0,5,0,0,14,340,467.4,257.1,703.0,142.8,0.4090909090909091,0.13636363636363635,6.1,5.0,0.5,1390,1400,1310,1300
5,Karl Hein,Arsenal,GK,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
6,Jurriën Timber,Arsenal,DEF,5.6,0.0,0.0,3.8,4.248447204968945,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0.03333333333333333,0.1,4.7,5.0,0.5,1390,1400,1310,1300
7,Jorge Luiz Frello Filho,Arsenal,MID,4.6,0.3,0.3333333333333333,1.3333333333333333,2.5677603423680457,701,0,0,2,7,0,0,0,5,0,0,0,112,44.8,88.8,8.0,14.2,0.0,0.0,0.2,5.0,0.5,1390,1400,1310,1300
8,Jakub Kiwior,Arsenal,DEF,4.9,3.0,3.0,2.5625,3.5929892891918205,1027,1,0,3,14,0,0,0,1,0,0,2,168,244.8,86.0,32.0,36.4,0.0625,0.0,3.3,5.0,0.5,1390,1400,1310,1300
9,Gabriel Martinelli Silva,Arsenal,MID,6.5,4.0,4.0,3.84375,5.0,2214,8,4,10,24,0,0,0,1,0,0,6,411,540.8,545.0,864.0,195.1,0.25,0.125,3.0,5.0,0.5,1390,1400,1310,1300
12,Ethan Nwaneri,Arsenal,MID,4.3,0.3,0.3333333333333333,2.56,7.128712871287129,808,4,2,4,3,0,0,0,1,0,0,4,234,278.2,232.5,230.0,74.0,0.16,0.08,1.5,5.0,0.5,1390,1400,1310,1300
13,Martin Ødegaard,Arsenal,MID,8.2,6.3,6.333333333333333,3.7586206896551726,4.254119687771032,2306,2,9,11,21,0,0,0,4,0,0,10,503,489.4,965.8,484.0,194.1,0.06896551724137931,0.3103448275862069,5.6,5.0,0.5,1390,1400,1310,1300
15,David Raya Martin,Arsenal,GK,5.5,3.3,3.3333333333333335,3.7837837837837838,3.783783783783784,3330,0,0,13,33,0,0,0,3,0,85,10,549,744.4,10.7,0.0,75.6,0.0,0.0,32.1,5.0,0.5,1390,1400,1310,1300
16,Declan Rice,Arsenal,MID,6.2,6.7,6.666666666666667,3.676470588235294,4.11635565312843,2733,4,7,11,28,0,0,0,5,1,0,17,612,708.8,918.0,374.0,199.7,0.11764705882352941,0.20588235294117646,3.9,5.0,0.5,1390,1400,1310,1300
17,Bukayo Saka,Arsenal,MID,10.3,2.3,2.3333333333333335,5.25,6.682380671773719,1697,6,11,7,21,0,0,0,3,0,0,18,506,599.4,819.5,814.0,223.3,0.25,0.4583333333333333,19.0,5.0,0.5,1390,1400,1310,1300
18,William Saliba,Arsenal,DEF,6.5,1.0,1.0,3.7142857142857144,3.8499506416584404,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0.05714285714285714,0.0,27.4,5.0,0.5,1390,1400,1310,1300
20,Thomas Partey,Arsenal,MID,4.9,2.3,2.3333333333333335,3.1176470588235294,3.5294117647058822,2703,4,3,9,29,0,0,0,4,0,0,8,550,602.2,360.3,216.0,118.3,0.11764705882352941,0.08823529411764706,0.7,5.0,0.5,1390,1400,1310,1300
21,Kieran Tierney,Arsenal,DEF,4.3,0.7,0.6666666666666666,1.4166666666666667,8.138297872340425,188,0,0,1,0,0,0,0,0,0,0,0,71,42.4,90.5,13.0,14.7,0.0,0.0,0.1,5.0,0.5,1390,1400,1310,1300
22,Tomiyasu Takehiro,Arsenal,DEF,4.8,0.0,0.0,1.0,15.0,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
23,Leandro Trossard,Arsenal,MID,6.7,4.0,4.0,4.0,5.287812624057166,2519,8,7,11,27,0,0,0,2,1,0,18,550,591.0,605.0,791.0,198.3,0.21621621621621623,0.1891891891891892,4.2,5.0,0.5,1390,1400,1310,1300
24,Benjamin White,Arsenal,DEF,6.2,2.7,2.6666666666666665,2.8125,3.6651583710407243,1105,0,1,5,12,0,0,0,2,0,0,0,186,216.2,129.1,94.0,43.9,0.0,0.0625,3.6,5.0,0.5,1390,1400,1310,1300
25,Oleksandr Zinchenko,Arsenal,DEF,4.8,0.7,0.6666666666666666,2.7142857142857144,7.616926503340757,449,0,1,4,0,0,0,0,1,0,0,2,129,62.4,64.7,53.0,17.9,0.0,0.07142857142857142,0.9,5.0,0.5,1390,1400,1310,1300
73,Norberto Murara Neto,Arsenal,GK,4.1,0.0,0.0,3.5,3.5,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,0.0,0.0,0.7,5.0,0.5,1390,1400,1310,1300
186,Raheem Sterling,Arsenal,MID,6.7,0.3,0.3333333333333333,1.5,5.046728971962617,428,0,2,1,3,0,0,0,1,0,0,0,54,63.8,118.4,116.0,29.6,0.0,0.125,0.8,5.0,0.5,1390,1400,1310,1300
578,Riccardo Calafiori,Arsenal,DEF,5.8,0.7,0.6666666666666666,2.0526315789473686,3.5889570552147236,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0.10526315789473684,0.05263157894736842,1.4,5.0,0.5,1390,1400,1310,1300
597,Myles Lewis-Skelly,Arsenal,MID,4.5,2.0,2.0,1.6363636363636365,2.414307004470939,1342,1,0,5,16,0,0,0,3,2,0,0,232,173.0,169.4,55.0,39.4,0.045454545454545456,0.0,0.4,5.0,0.5,1390,1400,1310,1300
633,Mikel Merino,Arsenal,MID,6.0,1.7,1.6666666666666667,3.3333333333333335,5.454545454545455,1485,7,2,4,16,0,0,0,2,1,0,8,321,451.6,255.0,493.0,119.9,0.25925925925925924,0.07407407407407407,1.5,5.0,0.5,1390,1400,1310,1300
638,Salah-Eddine Oulad M'hand,Arsenal,MID,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
639,Tommy Setford,Arsenal,GK,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,0.5,1390,1400,1310,1300
657,Maldini Kacurri,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
659,Ismeal Kabia,Arsenal,MID,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
662,Josh Nichols,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,0.5,1390,1400,1310,1300
665,Nathan Butler-Oyedeji,Arsenal,FWD,4.5,0.0,0.0,1.0,15.0,6,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.0,17.0,2.0,0.0,0.0,0.2,5.0,0.5,1390,1400,1310,1300
735,Mikel Arteta,Arsenal,Unknown,1.5,5.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,5.0,0.5,1390,1400,1310,1300
756,Jack Porter,Arsenal,GK,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
790,Jimi Gower,Arsenal,MID,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
793,Jack Henry-Francis,Arsenal,MID,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
801,Brayden Clarke,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
28,Leon Bailey,Aston Villa,MID,6.2,0.3,0.3333333333333333,1.9583333333333333,3.7367491166077738,1132,1,2,2,19,0,0,0,3,0,0,2,174,146.4,235.8,325.0,70.3,0.041666666666666664,0.08333333333333333,0.8,3.0,0.3,1130,1180,1160,1300
29,Ross Barkley,Aston Villa,MID,5.2,0.7,0.6666666666666666,2.263157894736842,6.898395721925134,561,3,1,1,9,0,0,0,3,0,0,5,162,213.6,127.5,202.0,54.2,0.15789473684210525,0.05263157894736842,0.2,3.0,0.3,1130,1180,1160,1300
30,Enzo Barrenechea,Aston Villa,MID,4.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
31,Emiliano Buendía Stati,Aston Villa,MID,5.1,0.0,0.0,0.9166666666666666,11.123595505617978,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0.0,0.0,0.1,3.0,0.3,1130,1180,1160,1300
32,Matty Cash,Aston Villa,DEF,4.4,6.0,6.0,2.8846153846153846,3.4108135421930266,1979,1,1,7,20,0,0,0,7,0,0,2,281,337.6,178.9,150.0,66.8,0.038461538461538464,0.038461538461538464,1.6,3.0,0.3,1130,1180,1160,1300
33,Leander Dendoncker,Aston Villa,MID,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.0,0.3,1130,1180,1160,1300
34,Moussa Diaby,Aston Villa,MID,6.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
35,Diego Carlos Santos Silva,Aston Villa,DEF,4.5,0.0,0.0,2.1,2.282608695652174,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,0.0,0.0,0.3,3.0,0.3,1130,1180,1160,1300
36,Lucas Digne,Aston Villa,DEF,4.4,2.7,2.6666666666666665,2.78125,3.411413969335605,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,0.0,0.15625,5.7,3.0,0.3,1130,1180,1160,1300
37,Lewis Dobbin,Aston Villa,MID,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
38,Jhon Durán,Aston Villa,FWD,5.7,0.0,0.0,2.65,7.668810289389067,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,0.35,0.0,1.6,3.0,0.3,1130,1180,1160,1300
39,Joe Gauci,Aston Villa,GK,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.3,1130,1180,1160,1300
40,Kortney Hause,Aston Villa,DEF,3.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.3,1130,1180,1160,1300
41,Samuel Iling-Junior,Aston Villa,MID,5.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
42,Boubacar Kamara,Aston Villa,MID,5.0,5.3,5.333333333333333,2.2,3.0238240684178375,1637,1,0,6,21,0,0,0,2,0,0,3,280,325.0,189.9,83.0,59.9,0.04,0.0,0.1,3.0,0.3,1130,1180,1160,1300
43,Kaine Kesler-Hayden,Aston Villa,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
44,Ezri Konsa Ngoyo,Aston Villa,DEF,4.5,8.7,8.666666666666666,3.090909090909091,3.225579761068166,2846,2,0,8,43,0,0,0,1,0,0,10,447,519.6,123.6,166.0,81.0,0.06060606060606061,0.0,9.2,3.0,0.3,1130,1180,1160,1300
45,Ian Maatsen,Aston Villa,DEF,4.5,4.3,4.333333333333333,2.0,4.869565217391305,1035,1,2,3,14,0,0,0,2,0,0,0,213,252.0,292.3,195.0,74.0,0.03571428571428571,0.07142857142857142,1.6,3.0,0.3,1130,1180,1160,1300
46,Filip Marschall,Aston Villa,GK,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
47,Emiliano Martínez Romero,Aston Villa,GK,5.0,7.7,7.666666666666667,3.138888888888889,3.2285714285714286,3150,0,0,8,45,0,1,0,5,0,95,6,460,807.2,20.0,0.0,82.8,0.0,0.0,13.3,3.0,0.3,1130,1180,1160,1300
48,John McGinn,Aston Villa,MID,5.2,3.3,3.3333333333333335,2.272727272727273,3.130797773654917,2156,1,4,7,34,0,0,0,7,0,0,1,354,277.2,497.5,256.0,102.8,0.030303030303030304,0.12121212121212122,0.7,3.0,0.3,1130,1180,1160,1300
49,Tyrone Mings,Aston Villa,DEF,4.4,2.0,2.0,3.357142857142857,3.780160857908847,1119,0,1,4,11,0,0,0,1,0,0,5,207,220.4,49.2,74.0,34.6,0.0,0.07142857142857142,0.2,3.0,0.3,1130,1180,1160,1300
50,Kosta Nedeljković,Aston Villa,DEF,3.9,0.0,0.0,1.0,3.71900826446281,121,0,0,0,4,0,0,0,0,0,0,0,11,22.8,7.2,0.0,3.0,0.0,0.0,0.5,3.0,0.3,1130,1180,1160,1300
51,Robin Olsen,Aston Villa,GK,4.5,0.0,0.0,2.6666666666666665,4.0,180,0,0,1,4,0,0,0,0,0,5,0,21,37.0,0.0,0.0,3.7,0.0,0.0,0.1,3.0,0.3,1130,1180,1160,1300
52,Pau Torres,Aston Villa,DEF,4.2,4.7,4.666666666666667,2.391304347826087,2.5660964230171075,1929,0,0,5,31,0,0,0,1,0,0,3,256,333.8,84.3,102.0,52.3,0.0,0.0,0.8,3.0,0.3,1130,1180,1160,1300
53,Jacob Ramsey,Aston Villa,MID,5.4,0.3,0.3333333333333333,2.3214285714285716,3.68156073001888,1589,1,4,5,24,0,0,0,2,1,0,3,263,235.4,307.1,241.0,78.2,0.03571428571428571,0.14285714285714285,0.3,3.0,0.3,1130,1180,1160,1300
54,Morgan Rogers,Aston Villa,MID,5.8,5.0,5.0,4.444444444444445,4.74934036939314,3032,8,11,10,39,0,0,0,9,0,0,15,538,729.0,717.9,687.0,213.4,0.2222222222222222,0.3055555555555556,25.9,3.0,0.3,1130,1180,1160,1300
55,Viljami Sinisalo,Aston Villa,GK,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
56,Lino da Cruz Sousa,Aston Villa,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,1130,1180,1160,1300
57,Youri Tielemans,Aston Villa,MID,5.5,3.7,3.6666666666666665,3.4285714285714284,3.6036036036036037,2997,3,7,7,44,0,0,1,4,0,0,15,681,793.4,951.7,321.0,206.6,0.08571428571428572,0.2,1.1,3.0,0.3,1130,1180,1160,1300
58,Ollie Watkins,Aston Villa,FWD,9.1,5.3,5.333333333333333,4.972972972972973,6.616060727127446,2503,16,8,10,38,0,0,0,2,0,0,32,629,765.4,341.4,1142.0,222.8,0.43243243243243246,0.21621621621621623,28.0,3.0,0.3,1130,1180,1160,1300
167,Axel Disasi,Aston Villa,DEF,4.2,0.0,0.0,2.5384615384615383,3.490011750881316,851,1,0,3,12,0,0,0,3,0,0,0,133,169.6,75.6,51.0,29.7,0.07692307692307693,0.0,0.4,3.0,0.3,1130,1180,1160,1300
233,Amadou Onana,Aston Villa,MID,4.8,2.3,2.3333333333333335,2.48,3.5976789168278533,1551,3,0,5,23,0,0,0,4,0,0,5,311,350.2,183.5,213.0,74.9,0.12,0.0,2.1,3.0,0.3,1130,1180,1160,1300
