player_id,name,team,position,price,form,recent_form,points_per_game,points_per_90,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,ownership_percentage,avg_fixture_difficulty,team_strength,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away
3,Gabriel dos Santos Magalhães,Arsenal,DEF,6.1,0.0,0.0,4.178571428571429,4.456199746085484,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,0.10714285714285714,0.07142857142857142,12.2,5.0,0.5,1390,1400,1310,1300
6,Jurriën Timber,Arsenal,DEF,5.6,0.0,0.0,3.8,4.248447204968945,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,0.03333333333333333,0.1,4.7,5.0,0.5,1390,1400,1310,1300
8,Jakub Kiwior,Arsenal,DEF,4.9,3.0,3.0,2.5625,3.5929892891918205,1027,1,0,3,14,0,0,0,1,0,0,2,168,244.8,86.0,32.0,36.4,0.0625,0.0,3.3,5.0,0.5,1390,1400,1310,1300
18,William Saliba,Arsenal,DEF,6.5,1.0,1.0,3.7142857142857144,3.8499506416584404,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,0.05714285714285714,0.0,27.4,5.0,0.5,1390,1400,1310,1300
21,Kieran Tierney,Arsenal,DEF,4.3,0.7,0.6666666666666666,1.4166666666666667,8.138297872340425,188,0,0,1,0,0,0,0,0,0,0,0,71,42.4,90.5,13.0,14.7,0.0,0.0,0.1,5.0,0.5,1390,1400,1310,1300
22,Tomiyasu Takehiro,Arsenal,DEF,4.8,0.0,0.0,1.0,15.0,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
24,Benjamin White,Arsenal,DEF,6.2,2.7,2.6666666666666665,2.8125,3.6651583710407243,1105,0,1,5,12,0,0,0,2,0,0,0,186,216.2,129.1,94.0,43.9,0.0,0.0625,3.6,5.0,0.5,1390,1400,1310,1300
25,Oleksandr Zinchenko,Arsenal,DEF,4.8,0.7,0.6666666666666666,2.7142857142857144,7.616926503340757,449,0,1,4,0,0,0,0,1,0,0,2,129,62.4,64.7,53.0,17.9,0.0,0.07142857142857142,0.9,5.0,0.5,1390,1400,1310,1300
578,Riccardo Calafiori,Arsenal,DEF,5.8,0.7,0.6666666666666666,2.0526315789473686,3.5889570552147236,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,0.10526315789473684,0.05263157894736842,1.4,5.0,0.5,1390,1400,1310,1300
657,Maldini Kacurri,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
662,Josh Nichols,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,0.5,1390,1400,1310,1300
801,Brayden Clarke,Arsenal,DEF,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1390,1400,1310,1300
32,Matty Cash,Aston Villa,DEF,4.4,6.0,6.0,2.8846153846153846,3.4108135421930266,1979,1,1,7,20,0,0,0,7,0,0,2,281,337.6,178.9,150.0,66.8,0.038461538461538464,0.038461538461538464,1.6,3.0,0.3,1130,1180,1160,1300
35,Diego Carlos Santos Silva,Aston Villa,DEF,4.5,0.0,0.0,2.1,2.282608695652174,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,0.0,0.0,0.3,3.0,0.3,1130,1180,1160,1300
36,Lucas Digne,Aston Villa,DEF,4.4,2.7,2.6666666666666665,2.78125,3.411413969335605,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,0.0,0.15625,5.7,3.0,0.3,1130,1180,1160,1300
40,Kortney Hause,Aston Villa,DEF,3.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.3,1130,1180,1160,1300
