iter	RMSE
0	162300724.2
1	160688261.6
2	159182681.8
3	157564444.3
4	156109013.4
5	154842029.6
6	153691097.6
7	152288359.6
8	151070794.2
9	149636810.7
10	148451398.4
11	147890219
12	146682550.4
13	145425676.6
14	144324564.2
15	143276478.6
16	142303936.9
17	141701584.9
18	141030230.5
19	140134756.6
20	139391935.8
21	138680259.6
22	137968173.2
23	137268784.9
24	136516110.1
25	135463803.7
26	134600730.8
27	134448596
28	133728126.7
29	133140959.1
30	132372339.1
31	131747696.4
32	131032964.6
33	130347066.5
34	129859510.7
35	129085794.4
36	128549999.1
37	127969849.7
38	127568742.3
39	126969211.1
40	126366400.6
41	125852100.8
42	125347632.9
43	125125079.5
44	124521248.1
45	124048649
46	123794693.3
47	123281742.9
48	122720859.7
49	122327476.2
50	121919648.3
51	121487053
52	121208009.7
53	120643839.3
54	120293225
55	120051714.8
56	119689902.8
57	119123412.1
58	118506590.9
59	118022027.4
60	117661920.8
61	117248982.5
62	116819098.5
63	116221939.6
64	115834561.8
65	115538563.3
66	115134125.1
67	114798151.1
68	114574936.4
69	114546796.5
70	114099912.1
71	113794781.4
72	113450761
73	113343365.5
74	112879513.9
75	112474622
76	112033998.4
77	111723157.3
78	111407524
79	111104168.3
80	110718128.4
81	110522511.5
82	110210300.6
83	109774097.8
84	109598394
85	109239746.3
86	108926848.9
87	108670594.7
88	108278169.1
89	107973951.5
90	107761421.9
91	107504142
92	107203230.1
93	106890269.5
94	106623538.8
95	106288954
96	106085698.9
97	105783407.6
98	105450740.2
99	105007885.6
100	104814309.2
101	104651493.6
102	104559021.1
103	104197312.8
104	104099005.1
105	103810498
106	103538135
107	103197366.3
108	102927337.5
109	102639737.8
110	102420437.2
111	102219719.9
112	102122433.8
113	101972956.5
114	101766188
115	101627586.9
116	101339696.9
117	101207249.2
118	100849797.3
119	100539620.9
120	100382578.4
121	100155076.3
122	99885296.26
123	99656187.64
124	99384234.62
125	99003193.05
126	98744033.37
127	98379398.25
128	98303173.07
129	98099385.77
130	97899376.86
131	97714554.85
132	97524240.33
133	97297986.87
134	97064869.75
135	96821313.52
136	96655445.31
137	96406476.72
138	96282189.01
139	96106566.13
140	95910103.06
141	95835053.02
142	95606545.96
143	95231877.65
144	95053700.97
145	94817294.57
146	94648797.99
147	94492314.15
148	94214424.31
149	93964754.17
150	93748199.25
151	93587402.93
152	93379214.57
153	93242884.7
154	92992631.38
155	92802923.69
156	92622802.41
157	92375990.36
158	92116976.93
159	91883328.81
160	91553674.85
161	91303339.57
162	91056623.65
163	90805733.18
164	90652385.57
165	90465871.21
166	90144369.1
167	90014187.1
168	89900537.35
169	89516417.15
170	89394166.92
171	89297999.67
172	89016839.75
173	88782392.98
174	88662451.52
175	88550013.6
176	88486873.36
177	88340432.75
178	88108116.3
179	88018706.6
180	87773780.61
181	87553036.98
182	87328489.3
183	87108298.73
184	86933294.06
185	86650821.86
186	86539122.84
187	86473501.41
188	86388437.11
189	86184113.32
190	86048481.78
191	86022041.39
192	85813318.12
193	85631173.04
194	85507497.72
195	85178470.18
196	85115857.59
197	84912468.12
198	84623224.06
199	84451784.78
