iter	Passed	Remaining
0	3	668
1	5	567
2	8	532
3	10	525
4	14	571
5	17	567
6	20	563
7	23	565
8	26	557
9	28	548
10	31	539
11	33	527
12	35	516
13	37	503
14	40	495
15	42	492
16	44	484
17	47	476
18	49	468
19	51	461
20	53	455
21	55	450
22	57	444
23	59	438
24	61	433
25	63	427
26	65	421
27	67	413
28	69	409
29	71	403
30	72	397
31	74	391
32	76	386
33	78	381
34	79	377
35	81	372
36	83	368
37	85	364
38	87	360
39	89	356
40	90	352
41	92	348
42	94	344
43	96	341
44	98	338
45	100	335
46	101	331
47	103	328
48	105	324
49	107	321
50	108	317
51	110	314
52	112	311
53	114	309
54	116	307
55	118	304
56	120	301
57	121	298
58	123	295
59	125	293
60	127	290
61	130	290
62	132	288
63	136	289
64	138	287
65	140	285
66	142	283
67	144	281
68	147	279
69	148	274
70	150	272
71	152	270
72	154	268
73	156	266
74	159	265
75	161	263
76	163	261
77	166	260
78	168	258
79	171	256
80	173	255
81	176	253
82	178	252
83	180	249
84	182	247
85	184	244
86	186	242
87	188	239
88	190	237
89	192	234
90	193	232
91	195	229
92	197	227
93	199	225
94	201	222
95	203	220
96	204	217
97	206	215
98	208	212
99	210	210
100	212	208
101	214	205
102	215	203
103	217	200
104	219	198
105	221	196
106	223	193
107	224	191
108	226	189
109	228	186
110	230	184
111	232	182
112	233	180
113	235	177
114	237	175
115	239	173
116	241	170
117	242	168
118	244	166
119	246	164
120	248	161
121	249	159
122	251	157
123	253	155
124	255	153
125	257	151
126	259	148
127	260	146
128	262	144
129	264	142
130	266	140
131	269	138
132	271	136
133	272	134
134	274	132
135	276	130
136	278	128
137	280	125
138	282	123
139	284	121
140	286	119
141	289	118
142	291	116
143	293	114
144	296	112
145	298	110
146	300	108
147	302	106
148	303	104
149	305	101
150	307	99
151	309	97
152	311	95
153	312	93
154	314	91
155	316	89
156	318	87
157	320	85
158	321	82
159	323	80
160	325	78
161	327	76
162	329	74
163	331	72
164	332	70
165	334	68
166	336	66
167	338	64
168	339	62
169	341	60
170	343	58
171	345	56
172	347	54
173	348	52
174	350	50
175	352	48
176	354	46
177	356	44
178	357	41
179	359	39
180	361	37
181	363	35
182	365	33
183	366	31
184	368	29
185	370	27
186	372	25
187	374	23
188	376	21
189	377	19
190	379	17
191	381	15
192	383	13
193	385	11
194	386	9
195	389	7
196	390	5
197	392	3
198	394	1
199	396	0
